Multiplier type,Variable,Industry,UOM,VALUE
Direct multiplier,Output,Total industries,Per dollar of output,1
Direct multiplier,Output,"Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]",Per dollar of output,1
Direct multiplier,Output,"Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]",Per dollar of output,1
Direct multiplier,Output,Cannabis production (licensed) [BS111CL0],Per dollar of output,1
Direct multiplier,Output,Cannabis production (unlicensed) [BS111CU0],Per dollar of output,1
Direct multiplier,Output,Animal production (except aquaculture) [BS112A00],Per dollar of output,1
Direct multiplier,Output,Aquaculture [BS112500],Per dollar of output,1
Direct multiplier,Output,Forestry and logging [BS113000],Per dollar of output,1
Direct multiplier,Output,"Fishing, hunting and trapping [BS114000]",Per dollar of output,1
Direct multiplier,Output,Support activities for crop and animal production [BS115A00],Per dollar of output,1
Direct multiplier,Output,Support activities for forestry [BS115300],Per dollar of output,1
Direct multiplier,Output,Oil and gas extraction (except oil sands) [BS211110],Per dollar of output,1
Direct multiplier,Output,Oil sands extraction [BS211140],Per dollar of output,1
Direct multiplier,Output,Coal mining [BS212100],Per dollar of output,1
Direct multiplier,Output,Iron ore mining [BS212210],Per dollar of output,1
Direct multiplier,Output,Gold and silver ore mining [BS212220],Per dollar of output,1
Direct multiplier,Output,"Copper, nickel, lead and zinc ore mining [BS212230]",Per dollar of output,1
Direct multiplier,Output,Other metal ore mining [BS212290],Per dollar of output,1
Direct multiplier,Output,Stone mining and quarrying [BS212310],Per dollar of output,1
Direct multiplier,Output,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]",Per dollar of output,1
Direct multiplier,Output,Diamond mining [BS212392],Per dollar of output,1
Direct multiplier,Output,Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A],Per dollar of output,1
Direct multiplier,Output,Potash mining [BS212396],Per dollar of output,1
Direct multiplier,Output,Support activities for oil and gas extraction [BS21311A],Per dollar of output,1
Direct multiplier,Output,Support activities for mining [BS21311B],Per dollar of output,1
Direct multiplier,Output,"Electric power generation, transmission and distribution [BS221100]",Per dollar of output,1
Direct multiplier,Output,Natural gas distribution [BS221200],Per dollar of output,1
Direct multiplier,Output,"Water, sewage and other systems [BS221300]",Per dollar of output,1
Direct multiplier,Output,Residential building construction [BS23A000],Per dollar of output,1
Direct multiplier,Output,Non-residential building construction [BS23B000],Per dollar of output,1
Direct multiplier,Output,Transportation engineering construction [BS23C100],Per dollar of output,1
Direct multiplier,Output,Oil and gas engineering construction [BS23C200],Per dollar of output,1
Direct multiplier,Output,Electric power engineering construction [BS23C300],Per dollar of output,1
Direct multiplier,Output,Communication engineering construction [BS23C400],Per dollar of output,1
Direct multiplier,Output,Other engineering construction [BS23C500],Per dollar of output,1
Direct multiplier,Output,Repair construction [BS23D000],Per dollar of output,1
Direct multiplier,Output,Other activities of the construction industry [BS23E000],Per dollar of output,1
Direct multiplier,Output,Animal food manufacturing [BS311100],Per dollar of output,1
Direct multiplier,Output,Grain and oilseed milling [BS311200],Per dollar of output,1
Direct multiplier,Output,Sugar and confectionery product manufacturing [BS311300],Per dollar of output,1
Direct multiplier,Output,Fruit and vegetable preserving and specialty food manufacturing [BS311400],Per dollar of output,1
Direct multiplier,Output,Dairy product manufacturing [BS311500],Per dollar of output,1
Direct multiplier,Output,Meat product manufacturing [BS311600],Per dollar of output,1
